Month_Dt,Month,Year,"HRC 
(FOB, $/t)",Domestic Scrap (DDP Jiangsu incl. VAT $/t),"HRC - RM 
Spread ($/t)",CS Production (Mnt),"Exports 
(Mnt)","Imports 
(Mnt)",Export as % of Production,Cummulative FAI growth (%),Domestic Scrap (DDP Jiangsu incl. VAT $/t).1,Monthly Imports of semis & finished steel (Mt.),Monthly Export of semis & finished steel (Mt.),YTD Iron ore Imports (Mt.),YTD Iron ore Production (Mt.),Monthly Iron ore Production (Mt.),Fixed asset investment in real estate development in urban areas (y-o-y )Growth,Automobile Production (y-o-y),Civil Metal-Vessels/Steel Ships (y-o-y),Household Fridges (y-o-y),Air Conditioner (y-o-y),Manufacturing PMI for steel
01/10/2022,10,2022,550,402,113,81,5,1,6,6,402,0.7,5.4,917.42,967.9,78.61,-10,3.4,-4.5,-3.6,1.8,44.3
01/11/2022,11,2022,525,393,94,76,6,1,7,5,393,1.23,12.19,1016.1,150.35,92.91,-5.7,-14,-21.9,7.9,10.8,46.6
01/12/2022,12,2022,574,436,134,79,5,1,7,5,436,1.23,7.89,1106.86,150.35,92.91,-5.7,-14,-21.9,7.9,10.8,50.1
01/01/2023,1,2023,622,460,108,83,6,1,8,6,460,0.68,7.89,103.6,243.267,92.91,-5.8,-5.1,-7.9,8.4,12.6,48.4
01/02/2023,2,2023,647,463,76,78,6,1,7,6,463,0.59,7.93,194.2,314.382,71.12,-6.2,4.3,0.5,11,12.2,45
01/03/2023,3,2023,666,462,118,96,8,1,8,5,462,0.63,8.36,294.34,391.352,76.97,-7.2,7.1,-4.5,12.4,14.2,35.2
01/04/2023,4,2023,623,437,168,93,8,1,9,5,437,0.61,7.51,384.68,476.759,85.41,-7.9,6.1,1.6,13.3,16.6,49.9
01/05/2023,5,2023,561,400,163,90,8,1,9,4,400,0.68,7.31,480.75,566.8,90.04,-8.5,4.5,-0.3,13.8,17.9,49.9
01/06/2023,6,2023,542,403,131,91,8,1,8,4,403,0.64,8.28,576.14,659.169,92.37,-8.8,4.8,2.2,14.5,16.5,45.2
01/07/2023,7,2023,550,410,138,91,7,1,8,3,410,0.64,8.06,669.46,742.766,83.6,-9.1,4.3,2.8,13.6,13.7,45.8
01/08/2023,8,2023,553,405,124,87,8,1,10,3,405,0.67,7.73,775.66,825.758,82.99,-9.3,4.9,4,14.1,12.4,45.6
01/09/2023,9,2023,537,403,38,82,8,1,10,3,403,0.61,8.01,876.65,904.027,78.27,-9.4,6.8,4.4,14.2,12.6,48.2
01/10/2023,10,2023,526,398,-18,79,8,1,10,3,398,0.67,7.73,975.84,990.555,86.53,-7.2,9.3,1.6,14.5,13.5,46
01/11/2023,11,2023,542,400,13,76,8,1,11,3,400,1.13,15.91,1015.38,175.9,108.23,-9,51.2,6.8,12.8,18.8,46
01/12/2023,12,2023,560,412,15,67,8,1,11,3,412,1.13,15.91,1179.06,175.9,108.23,-9,4.4,6.8,12.8,18.8,46
01/01/2024,1,2024,560,421,11,87,8,1,9,4,421,0.62,9.89,111.94,284.1,108.23,-9.5,5.3,3.9,12.8,16.5,44.2
01/02/2024,2,2024,550,417,35,81,8,1,9,4,417,0.66,9.22,209.45,368.9,84.78,-9.8,7.7,2.4,14.1,17.6,47.9
01/03/2024,3,2024,527,395,76,88,10,1,11,5,395,0.64,9.63,310.13,457.4,88.48,-10.1,6.6,1.6,12.1,16.7,49.8
01/04/2024,4,2024,519,374,103,86,9,1,11,4,374,0.58,8.75,384.12,554.1,96.75,-10.1,5.7,1.3,9.7,13.8,47.8
01/05/2024,5,2024,531,390,104,93,10,1,10,4,390,0.51,7.83,513.75,622.8,68.67,-10.2,4.5,1.4,7.3,9.5,42.5
01/06/2024,6,2024,518,378,98,92,9,1,10,4,378,0.51,9.5,611.17,696.5,73.73,-10.2,3.4,1.1,7.3,7.8,40.4
01/07/2024,7,2024,498,376,92,83,8,1,9,4,376,0.55,10.15,713.77,781.4,84.88,-10.1,2.7,1.1,7.5,8,49
01/08/2024,8,2024,464,346,100,78,9,1,12,3,346,0.54,11.18,814.95,871.5,90.16,-10.3,3,1.3,8.5,8.2,54.6
01/09/2024,9,2024,453,337,116,77,10,1,13,3,337,0.47,9.28,918.87,,,,,,,,50.6
01/10/2024,10,2024,497,354,127,82,11,1,14,3,354,,,1022.53,,,,,,,,
01/11/2024,11,2024,485,353,117,78,9,0,12,,353,,,,,,,,,,,
01/12/2024,12,2024,473,356,107,76,10,1,13,,356,,,,,,,,,,,
01/01/2025,1,2025,461,337,106,,,,,,337,,,,,,,,,,,
