Month,"HRC 
(FOB, $/t)","Iron Ore 
(CFR, $/t)","HCC 
(Aus FOB, $/t)",Domestic Scrap (DDP Jiangsu incl. VAT $/t),"RM Cost 
($/t)","HRC - RM 
Spread ($/t)",CS Production (Mnt),"Exports 
(Mnt)","Imports 
(Mnt)",Net Exports (Mnt),Export as % of Production,Cummulative FAI growth (%),"ACSU 
(Mnt)",Monthly Imports of semis & finished steel (Mt.),Monthly Export of semis & finished steel (Mt.),Monthly Iron ore Imports (Mt.),YTD Iron ore Imports (Mt.),YTD Iron ore Production (Mt.),Monthly Iron ore Production (Mt.),Stocks of iron ore at China's seaport (Mt.),YTD Growth rate of  Investment  (Fixed asset investment),Fixed asset investment in real estate development in urban areas (y-o-y )Growth,Floor space under construction (y-o-y),Automobile Production (y-o-y),Civil Metal-Vessels/Steel Ships (y-o-y),Household Fridges (y-o-y),Air Conditioner (y-o-y),Manufacturing PMI for steel
Jan-25,388,47,125,248,200,187,30,2,2,0,7%,26.60%,30,,,,,,,,,,,,,,,
Feb-25,388,48,125,248,202,185,30,2,1,1,7%,26.60%,29,,,,,,,,,,,,,,,
Mar-25,449,50,125,251,205,244,33,3,2,1,9%,29.80%,32,,,,,,,,,,,,,,,
Apr-25,478,57,116,257,207,271,35,3,2,1,9%,29.60%,33,,,,,,,,,,,,,,,
May-25,505,56,116,263,205,300,36,4,2,3,12%,30.30%,33,,,,,,,,,,,,,,,
Jun-25,559,55,116,266,205,354,37,5,2,4,15%,31.30%,33,,,,,,,,,,,,,,,
Jul-25,540,57,116,244,208,332,36,4,2,3,12%,30.50%,33,,,,,,,,,,,,,,,
Aug-25,495,60,116,253,212,283,37,5,2,3,14%,29.10%,33,,,,,,,,,,,,,,,
Sep-25,472,59,116,252,211,261,36,5,2,3,14%,28.20%,33,1.61,5.14,28.14,247.2,405.8,,41,27.30%,24.30%,18.50%,24.00%,6.00%,34.20%,3.90%,51.70%
Oct-25,477,62,85,260,185,292,38,5,1,4,14%,26.80%,34,1.42,5.19,21.97,,462.3,56.5,40.77,26.80%,24.10%,18.80%,25.10%,11.40%,31.80%,6.70%,55.90%
