Date,Month,"HRC (FOB, $/t)","Iron Ore (CFR, $/t)","HCC (Aus FOB, $/t)",Domestic Scrap (DDP Jiangsu incl. VAT $/t),RM Cost ($/t),HRC - RM Spread ($/t),CS Production (Mnt),Exports (Mnt),Imports (Mnt),Net Exports (Mnt),Export as % of Production,Cummulative FAI growth (%),ACSU (Mnt),Monthly Imports of semis & finished steel (Mt.),Monthly Export of semis & finished steel (Mt.),Monthly Iron ore Imports (Mt.),YTD Iron ore Imports (Mt.),YTD Iron ore Production (Mt.),Monthly Iron ore Production (Mt.),Stocks of iron ore at China's seaport (Mt.),YTD Growth rate of Investment (FAI),FAI in urban real estate development (y-o-y) Growth,Floor space under construction (y-o-y),Automobile Production (y-o-y),Civil Metal-Vessels/Steel Ships (y-o-y),Household Fridges (y-o-y),Air Conditioner (y-o-y),Manufacturing PMI for steel
2023-04-01,Apr-23,623,116,269,437,455,168,93.0,8.0,1.0,7.0,9.0,5.0,85.0,0.59,7.93,90.34,384.68,314.382,71.12,128.87,4.7,-6.2,-5.6,4.3,0.5,11.0,12.2,45.0
2023-05-01,May-23,561,105,231,400,399,163,90.0,8.0,1.0,8.0,9.0,4.0,82.0,0.63,8.36,96.07,480.75,391.352,76.97,127.43,4.0,-7.2,-6.2,7.1,-4.5,12.4,14.2,35.2
2023-06-01,Jun-23,542,113,231,403,411,131,91.0,8.0,1.0,7.0,8.0,4.0,84.0,0.61,7.51,95.39,576.14,476.759,85.41,127.42,3.8,-7.9,-6.6,6.1,1.6,13.3,16.6,49.9
2023-07-01,Jul-23,550,112,232,410,412,138,91.0,7.0,1.0,7.0,8.0,3.0,84.0,0.68,7.31,93.32,669.46,566.8,90.04,124.92,3.4,-8.5,-6.8,4.5,-0.3,13.8,17.9,49.9
2023-08-01,Aug-23,553,109,255,405,430,124,87.0,8.0,1.0,8.0,10.0,3.0,79.0,0.64,8.28,106.2,775.66,659.169,92.37,121.27,3.2,-8.8,-7.1,4.8,2.2,14.5,16.5,45.2
2023-09-01,Sep-23,537,121,306,403,499,38,82.0,8.0,1.0,7.0,10.0,3.0,75.0,0.64,8.06,100.99,876.65,742.766,83.6,113.85,3.1,-9.1,-7.1,4.3,2.8,13.6,13.7,45.8
2023-10-01,Oct-23,526,119,353,398,544,-18,79.0,8.0,1.0,7.0,10.0,3.0,72.0,0.67,7.73,99.39,975.84,825.758,82.99,111.37,2.9,-9.3,-7.3,4.9,4.0,14.1,12.4,45.6
2023-11-01,Nov-23,542,130,321,400,530,13,76.0,8.0,1.0,7.0,11.0,3.0,70.0,0.61,8.01,39.54,1015.38,904.027,78.27,114.98,2.9,-9.4,-7.2,6.8,4.4,14.2,12.6,48.2
2023-12-01,Dec-23,560,136,326,412,544,15,67.0,8.0,1.0,7.0,11.0,3.0,60.0,0.67,7.73,163.68,1179.06,990.555,86.53,119.92,3.0,-7.2,-7.2,9.3,1.6,14.5,13.5,46.0
2024-01-01,Jan-24,560,135,332,421,548,11,87.0,8.0,1.0,8.0,9.0,4.0,79.0,1.13,15.91,100.68,209.45,175.9,108.23,129.46,4.2,-9.0,-11.0,51.2,6.8,12.8,18.8,46.0
2024-02-01,Feb-24,550,125,315,417,515,35,81.0,8.0,1.0,7.0,9.0,4.0,74.0,1.13,15.91,100.68,209.45,175.9,108.23,138.93,4.2,-9.0,-11.0,4.4,6.8,12.8,18.8,46.0
2024-03-01,Mar-24,527,110,275,395,451,76,88.0,10.0,1.0,9.0,11.0,5.0,88.0,0.62,9.89,100.68,310.13,284.1,108.23,144.31,4.5,-9.5,-11.1,5.3,3.9,12.8,16.5,44.2
2024-04-01,Apr-24,519,111,239,374,416,103,86.0,9.0,1.0,9.0,11.0,4.0,69.0,0.66,9.22,73.99,384.12,368.9,84.78,147.59,4.2,-9.8,-10.8,7.7,2.4,14.1,17.6,47.9
2024-05-01,May-24,531,118,239,390,427,104,93.0,10.0,1.0,9.0,10.0,4.0,85.0,0.64,9.63,129.63,513.75,457.4,88.48,148.6,4.0,-10.1,-11.1,6.6,1.6,12.1,16.7,49.8
2024-06-01,Jun-24,518,107,249,378,420,98,92.0,9.0,1.0,8.0,10.0,4.0,83.0,0.58,8.75,97.42,611.17,554.1,96.75,149.26,3.9,-10.1,-12.0,5.7,1.3,9.7,13.8,47.8
2024-07-01,Jul-24,498,106,237,376,407,92,83.0,8.0,1.0,7.0,9.0,4.0,75.0,0.51,7.83,102.6,713.77,622.8,68.67,156.9,3.6,-10.2,-12.1,4.5,1.4,7.3,9.5,42.5
2024-08-01,Aug-24,464,99,206,346,363,100,78.0,9.0,1.0,9.0,12.0,3.0,68.0,0.51,9.5,101.18,814.95,696.5,73.73,160.32,3.4,-10.2,-12.0,3.4,1.1,7.3,7.8,40.4
2024-09-01,Sep-24,453,94,187,337,337,116,77.0,10.0,1.0,10.0,13.0,3.0,66.0,0.55,10.15,103.92,918.87,781.4,84.88,157.93,3.4,-10.1,-12.2,2.7,1.1,7.5,8.0,49.0
2024-10-01,Oct-24,497,104,204,354,370,127,82.0,11.0,1.0,11.0,14.0,3.0,70.0,0.54,11.18,103.84,1022.53,871.5,90.16,160.47,3.4,-10.3,-12.4,3.0,1.3,8.5,8.2,54.6
