Date,"HRC (FOB, $/t)_1d","Iron Ore (CFR, $/t)_1d","HCC (Aus FOB, $/t)_1d",Domestic Scrap (DDP Jiangsu incl. VAT $/t)_1d,Monthly Export of Semis & Finished Steel as % of Production_1d,FAI in urban real estate development (y-o-y) Growth_1d,Automobile Production (y-o-y)_1d,Civil Metal-Vessels/Steel Ships (y-o-y)_1d,Household Fridges (y-o-y)_1d,Air Conditioner (y-o-y)_1d,"HRC (FOB, $/t)_forecast","Iron Ore (CFR, $/t)_forecast","HCC (Aus FOB, $/t)_forecast",Domestic Scrap (DDP Jiangsu incl. VAT $/t)_forecast,Monthly Export of Semis & Finished Steel as % of Production_forecast,FAI in urban real estate development (y-o-y) Growth_forecast,Automobile Production (y-o-y)_forecast,Civil Metal-Vessels/Steel Ships (y-o-y)_forecast,Household Fridges (y-o-y)_forecast,Air Conditioner (y-o-y)_forecast
2024-11-01,0.00026251211083771423,0.002040773279169084,0.003836428351910108,0.001881783308487939,-0.0035336042136198996,-0.007919915283669376,-0.0017428954287907875,-0.0017071282693584538,-0.0017069645052264406,-0.00019055731630562996,493.7003337645732,97.3321016809322,198.90331768081307,388.47516238324556,7.027092472530618,-9.867005465035865,2.225977515567088,-6.456761574294536,8.49760927481482,6.261520774249419
2024-12-01,0.0002768914649030295,0.0020619166002030765,0.003842620531700087,0.0018844975081134438,-0.003535970827092954,-0.007962550232997176,-0.0017941710183096461,-0.0017405810647848215,-0.0017395159832197951,-0.00023115568457723347,493.83705410068603,97.53299940311855,199.66909801249392,389.20793309415086,7.002288756999312,-9.92595604744916,2.1380953889214354,-6.508834876068267,8.41610104689218,6.2505510418306045
2025-01-01,0.0002798454038994485,0.0020678475756153282,0.003857814607531017,0.001880223465149075,-0.003528904752462037,-0.007954008923865042,-0.0018009930064150346,-0.0017473404506444913,-0.0017300539451351842,-0.00022283577245524192,493.9752714693971,97.73489144852434,200.44087209897586,389.94041938594034,6.97762189602646,-9.98437661200294,2.0500375409647305,-6.5610193127402106,8.33517668851735,6.239978539645371
2025-02-01,0.0002749397254330382,0.0020615809047708463,0.003861600607383454,0.0018775576211652264,-0.003524107902844305,-0.007931244105205463,-0.0017823768913804868,-0.0017364076981975407,-0.0017106753687175873,-0.00020038766684943223,494.1111035668696,97.93658766956737,201.2163911010336,390.67324273591134,6.953075281423252,-10.04216912067696,1.9630459118734223,-6.612786990607631,8.25529631707581,6.230473105448127
2025-03-01,0.00027197720764266317,0.0020567192621439656,0.003856787159982924,0.0018782323444727518,-0.003525230581936591,-0.007925236362237407,-0.0017715417425358793,-0.0017291279002389864,-0.0017068145080284844,-0.0001944180786999949,494.2455088018346,98.13822301847097,201.99393834790737,391.40770738825336,6.928607240884267,-10.09946181691677,1.8767366133823415,-6.664248387202264,8.175732300270148,6.221252660334784
2025-04-01,0.0002729589294871786,0.002057475453427027,0.0038533294627379295,0.0018796182578444643,-0.0035277335851107696,-0.007932566456056616,-0.001774819984167227,-0.0017300533273070743,-0.0017137595105072411,-0.00020187641907560942,494.3804359407672,98.34034786552715,202.77378908780952,392.1440963095488,6.904208022697104,-10.156354613295196,1.7904207886600148,-6.715648348062928,8.095981052830048,6.211680393899577
2025-05-01,0.00027458107622473354,0.0020597889792965873,0.0038540762946075073,0.0018799182568596403,-0.003528093130242859,-0.007938167776788211,-0.0017809773588247193,-0.0017337219347643986,-0.0017183082024942843,-0.00020734174495107673,494.51620209148706,98.54311698939283,203.556802669308,392.8819885267312,6.879892253174584,-10.212837586649645,1.7039593651522367,-6.767068172922265,8.016155229528444,6.201850992413483
2025-06-01,0.0002748177220848111,0.0020603729562035725,0.003855856252643224,0.0018794647836437698,-0.0035271574557104593,-0.007937288949028867,-0.0017821243809077363,-0.0017348039308807618,-0.0017172291178330487,-0.00020632854459491884,494.6521225835044,98.74636187088628,204.34320358977564,393.6210907290093,6.855668535466187,-10.268867784457342,1.6175962543569398,-6.818430934497506,7.936516454812278,6.192071646400919
2025-07-01,0.0002742303344376889,0.002059651549718116,0.0038562597884110074,0.0018791463885485685,-0.003526610905528808,-0.00793450122164207,-0.0017799735821228035,-0.0017336573876443767,-0.0017147645049862838,-0.00020355225886125152,494.78778980169403,98.9499545611699,205.13272539100356,394.36145779129,6.831533841894657,-10.324435568756641,1.5314908675052479,-6.869670811216881,7.85712832653595,6.182425864908794
2025-08-01,0.0002738891893498756,0.002059117848245487,0.0038556687959985852,0.0018792005484058812,-0.0035267709531406084,-0.007933763105160242,-0.001778588984126922,-0.0017327625057231984,-0.0017142291504906129,-0.00020287664153911507,494.9233253883616,99.15391409498291,205.9251759710929,395.10323881840463,6.807483022570059,-10.379559086868131,1.4456054103665323,-6.920795552108107,7.777900935093918,6.172814052520437
