,"Japan HRC (FOB, $/t)_f"
2025-03-01,610.4198051547592
2025-04-01,610.7185851282887
2025-05-01,611.1092797261445
2025-06-01,611.4961948121023
2025-07-01,611.9033567290763
2025-08-01,612.3159333574902
2025-09-01,612.7148089763605
2025-10-01,613.1157964103719
2025-11-01,613.5027808720055
2025-12-01,613.8788061745471
2026-01-01,614.2584232501202
2026-02-01,614.6404439680609
2026-03-01,615.0275098066576
