Date,"HRC (FOB, $/t)_1d","Iron Ore (CFR, $/t)_1d","HCC (Aus FOB, $/t)_1d",Domestic Scrap (DDP Jiangsu incl. VAT $/t)_1d,Monthly Export of Semis & Finished Steel as % of Production_1d,FAI in urban real estate development (y-o-y) Growth_1d,Automobile Production (y-o-y)_1d,Civil Metal-Vessels/Steel Ships (y-o-y)_1d,Household Fridges (y-o-y)_1d,Air Conditioner (y-o-y)_1d,"HRC (FOB, $/t)_forecast","Iron Ore (CFR, $/t)_forecast","HCC (Aus FOB, $/t)_forecast",Domestic Scrap (DDP Jiangsu incl. VAT $/t)_forecast,Monthly Export of Semis & Finished Steel as % of Production_forecast,FAI in urban real estate development (y-o-y) Growth_forecast,Automobile Production (y-o-y)_forecast,Civil Metal-Vessels/Steel Ships (y-o-y)_forecast,Household Fridges (y-o-y)_forecast,Air Conditioner (y-o-y)_forecast
2023-06-01,-32.49059052690719,-2.7626865012052573,-31.132717695777444,-9.653815604480693,0.5402042383869252,-2.5358230912827198,-8.706376684075579,0.6822293682080018,-4.5657533091849745,-3.3731375546388396,528.5094094730928,102.23731349879475,199.86728230422256,390.3461843955193,9.829093127275813,-9.73582309128272,-1.6063766840755793,-3.817770631791998,7.834246690815026,10.82686244536116
2023-07-01,-15.321326852716217,-4.087397002516798,-2.8012687719903537,-17.730031951296283,-0.9085647289852251,-0.46582268697203644,1.4170687417398953,-2.306445126755023,-2.2853926180893835,-2.0283951999632763,513.1880826203766,98.14991649627794,197.0660135322322,372.616152444223,8.920528398290587,-10.201645778254756,-0.1893079423356845,-6.124215758547021,5.548854072725643,8.798467245397884
2023-08-01,4.283679891918435,1.5487652328459598,8.057582039009832,-0.30571301131462825,-0.6419162181740441,0.8902722740432331,3.7199121459152797,-2.0202357679460183,1.8169668695650543,-0.5413838361531242,517.4717625122951,99.6986817291239,205.12359557124205,372.3104394329084,8.278612180116543,-9.311373504211524,3.5306042035795953,-8.14445152649304,7.365820942290697,8.25708340924476
2023-09-01,-3.18040244246267,1.2391489494253944,7.618220445192682,5.854620317519765,-0.30171645649984385,-0.5286079213247512,-0.43899590742759265,1.1679678219465526,1.2825615784317668,0.5453425761048094,514.2913600698323,100.9378306785493,212.7418160164347,378.16505975042816,7.9768957236167,-9.839981425536275,3.0916082961520024,-6.976483704546487,8.648382520722464,8.802425985349569
2023-10-01,1.2212961424426934,-0.6748553007661304,5.124143150682238,5.392256511828877,0.18193890652703942,-0.3654063839672305,-0.4473292625755061,0.47601967746580254,-0.16000500873766949,0.5513969420288478,515.512656212275,100.26297537778316,217.86595916711696,383.557316262257,8.158834630143739,-10.205387809503506,2.6442790335764963,-6.500464027080684,8.488377511984794,9.353822927378417
2023-11-01,9.803026914096758,2.5403543049201742,-2.6802943388874922,7.401498235230212,-0.01614096196692566,-0.9815901859993923,-0.49830236507908887,0.22432607337723381,0.2504600632102905,-0.4204588535180676,525.3156831263718,102.80332968270335,215.18566482822948,390.95881449748725,8.142693668176813,-11.186977995502897,2.1459766684974078,-6.276137953703451,8.738837575195085,8.93336407386035
2023-12-01,5.645224493065492,2.138176347992232,2.2211511357306803,-0.12135863168818206,-0.0042781533688574565,-0.1958123129505526,0.513878686509208,0.14602330385108042,0.4204492120043899,0.06639495420332336,530.9609076194373,104.94150603069558,217.40681596396016,390.8374558657991,8.138415514807956,-11.382790308453451,2.6598553550066155,-6.13011464985237,9.159286787199475,8.999759028063671
2024-01-01,0.36498048802831895,1.5047555076533736,0.15825990590703176,-0.291031191200852,0.0020685286330459005,0.20761171123113167,-0.46622239839044816,1.1278564182473878,0.16552164304498423,0.1359950898972766,531.3258881074656,106.44626153834895,217.56507586986717,390.5464246745982,8.140484043441003,-11.175178597222319,2.1936329566161676,-5.002258231604982,9.32480843024446,9.13575411796095
2024-02-01,-2.280557667067315,-0.4827774567949725,0.9404922169137235,-0.1468002926904728,-0.03187686424028982,-0.00889103927605911,0.15296453919872516,-0.3519980664020283,-0.3339945505937265,0.3179660803856344,529.0453304403983,105.96348408155397,218.5055680867809,390.39962438190776,8.108607179200712,-11.184069636498378,2.346597495814893,-5.3542562980070105,8.990813879650734,9.453720198346584
2024-03-01,0.3389496043835055,0.1313413596400857,-1.490976662342377,-0.11844952439221812,-0.00013348584420591093,-0.11538893283669574,-0.43204512832453745,-0.535633786189435,-0.3280677094593524,-0.162299886426189,529.3842800447818,106.09482544119406,217.01459142443852,390.2811748575155,8.108473693356506,-11.299458569335073,1.914552367490356,-5.889890084196446,8.66274617019138,9.291420311920394
2024-04-01,0.19530799246631947,0.16897787611665055,-0.5011160875202558,-0.16731262042886497,-0.01099700666535274,-0.26555350995891125,-0.6274557819377525,-0.09065501240227285,0.034814996003723106,-0.015412463160432835,529.5795880372481,106.26380331731072,216.51347533691828,390.11386223708666,8.097476686691154,-11.565012079293986,1.2870965855526038,-5.980545096598719,8.697561166195104,9.27600784875996
2024-05-01,-0.7622105756587575,-0.4148695220300619,0.0892644005500669,-0.03969849990388721,-0.026846350098994852,-0.22312116466676812,-0.33721273773351235,-0.12656677260308027,-0.0182832763777757,-0.008544620854218574,528.8173774615893,105.84893379528064,216.60273973746834,390.07416373718274,8.07063033659216,-11.788133243960754,0.9498838478190912,-6.107111869201799,8.679277889817328,9.267463227905743
